date,open,high,low,close,adj_close,volume,dividend,stock split
2011-05-27,60.65,61.0,60.5,60.6,48.7,11654.0,0.0,0
2011-05-30,60.4,60.75,60.0,60.5,48.62,10596.0,0.0,0
2011-05-31,60.8,62.0,60.8,62.0,49.82,10803.0,0.0,0
2011-06-01,62.0,62.45,61.85,62.35,50.1,26701.0,0.0,0
2011-06-02,62.0,62.15,61.8,61.9,49.74,18597.0,0.0,0
2011-06-03,62.0,62.25,61.75,62.2,49.98,14862.0,0.0,0
2011-06-07,61.9,62.25,61.55,62.2,49.98,10952.0,0.0,0
2011-06-08,62.05,62.25,61.85,62.0,49.82,13997.0,0.0,0
2011-06-09,61.8,62.1,61.8,62.0,49.82,8658.0,0.0,0
2011-06-10,62.15,62.2,60.5,60.55,48.66,27165.0,0.0,0
2011-06-13,60.25,60.25,59.6,59.75,48.01,21819.0,0.0,0
2011-06-14,60.0,60.75,59.8,60.75,48.82,11495.0,0.0,0
2011-06-15,60.7,60.7,59.8,60.5,48.62,11114.0,0.0,0
2011-06-16,59.9,59.9,59.3,59.4,47.73,22992.0,0.0,0
2011-06-17,59.6,59.7,59.0,59.2,47.57,20671.0,0.0,0
2011-06-20,59.4,59.5,58.55,58.6,47.09,21489.0,0.0,0
2011-06-21,59.0,59.2,58.65,59.05,47.45,15208.0,0.0,0
2011-06-22,59.5,59.5,58.8,59.2,47.57,11720.0,0.0,0
2011-06-23,58.95,59.1,58.6,58.65,47.13,15118.0,0.0,0
2011-06-24,58.7,58.7,58.0,58.2,46.77,27198.0,0.0,0
2011-06-27,57.5,57.85,57.2,57.8,46.45,26860.0,0.0,0
2011-06-28,58.05,58.15,57.5,57.65,46.32,11835.0,0.0,0
2011-06-29,58.0,58.75,57.9,58.65,47.13,16181.0,0.0,0
2011-06-30,58.8,59.0,58.55,58.85,47.29,8320.0,0.0,0
2011-07-01,59.2,59.8,59.2,59.7,47.97,13929.0,0.0,0
2011-07-04,59.9,60.2,59.9,60.05,48.25,18893.0,0.0,0
2011-07-05,60.0,60.1,59.75,59.95,48.17,12603.0,0.0,0
2011-07-06,60.0,60.7,60.0,60.6,48.7,13449.0,0.0,0
2011-07-07,60.7,60.7,60.15,60.35,48.49,11096.0,0.0,0
2011-07-08,60.5,60.7,59.9,60.05,48.25,14923.0,0.0,0
2011-07-11,59.85,59.95,59.4,59.65,47.93,11957.0,0.0,0
2011-07-12,59.1,59.1,58.45,58.7,47.17,48029.0,0.0,0
2011-07-13,58.65,59.0,58.45,58.7,47.17,39109.0,0.0,0
2011-07-14,59.0,59.05,58.45,58.9,47.33,39793.0,0.0,0
2011-07-15,59.0,59.25,58.7,59.2,47.57,18383.0,0.0,0
2011-07-18,59.15,59.2,58.4,59.0,47.41,20660.0,0.0,0
2011-07-19,58.85,59.05,58.65,58.9,47.33,8263.0,0.0,0
2011-07-20,59.5,60.5,59.5,60.45,48.57,18715.0,0.0,0
2011-07-21,60.45,60.6,60.35,60.6,48.7,10844.0,0.0,0
2011-07-22,60.85,61.15,60.8,61.0,49.02,22648.0,0.0,0
2011-07-25,60.5,60.85,60.2,60.4,48.53,8411.0,0.0,0
2011-07-26,60.5,61.3,60.5,61.2,49.18,15852.0,0.0,0
2011-07-27,61.2,61.45,61.05,61.35,49.3,8711.0,0.0,0
2011-07-28,60.8,61.0,60.5,60.85,48.9,12977.0,0.0,0
2011-07-29,60.75,60.9,59.9,59.9,48.13,13799.0,0.0,0
2011-08-01,60.5,60.5,60.15,60.35,48.49,9193.0,0.0,0
2011-08-02,59.9,59.9,59.4,59.55,47.85,16226.0,0.0,0
2011-08-03,58.85,58.85,58.2,58.6,47.09,41963.0,0.0,0
2011-08-04,58.6,58.85,57.8,57.85,46.49,40051.0,0.0,0
2011-08-05,55.7,55.7,54.45,54.45,43.75,93458.0,0.0,0
2011-08-08,54.3,54.65,51.4,53.5,42.99,88005.0,0.0,0
2011-08-09,51.0,53.5,50.4,53.0,42.59,137297.0,0.0,0
2011-08-10,53.95,54.25,53.4,54.1,43.47,51604.0,0.0,0
2011-08-11,53.2,54.5,52.7,54.1,43.47,35378.0,0.0,0
2011-08-12,54.7,54.85,53.4,53.55,43.03,37947.0,0.0,0
2011-08-15,54.2,54.6,54.1,54.6,43.87,13267.0,0.0,0
2011-08-16,54.8,55.0,54.1,54.35,43.67,14454.0,0.0,0
2011-08-17,54.35,54.5,53.8,53.95,43.35,16417.0,0.0,0
2011-08-18,53.4,53.45,52.65,52.95,42.55,29503.0,0.0,0
2011-08-19,51.8,51.9,51.1,51.1,41.06,46076.0,0.0,0
2011-08-22,51.3,52.45,51.05,51.5,41.38,36755.0,0.0,0
2011-08-23,52.1,53.35,51.75,53.3,42.83,25707.0,0.0,0
2011-08-24,53.4,53.4,52.1,52.6,42.27,25898.0,0.0,0
2011-08-25,53.2,53.3,52.35,52.35,42.07,16359.0,0.0,0
2011-08-26,52.8,53.25,52.6,53.05,42.63,19281.0,0.0,0
2011-08-29,53.1,54.1,53.1,53.8,43.23,21332.0,0.0,0
2011-08-30,54.0,54.4,53.85,54.2,43.55,16818.0,0.0,0
2011-08-31,54.1,54.6,53.9,54.55,43.83,17688.0,0.0,0
2011-09-01,55.05,56.1,55.05,55.15,44.32,35830.0,0.0,0
2011-09-02,55.15,55.3,54.65,55.15,44.32,13630.0,0.0,0
2011-09-05,53.95,53.95,53.4,53.6,43.07,20801.0,0.0,0
2011-09-06,53.3,53.35,52.3,52.55,42.23,25583.0,0.0,0
2011-09-07,53.35,53.6,52.9,53.55,43.03,15636.0,0.0,0
2011-09-08,54.0,54.15,53.45,53.7,43.15,14938.0,0.0,0
2011-09-09,53.55,54.75,53.55,54.15,43.51,21102.0,0.0,0
2011-09-13,53.6,53.75,52.55,52.65,42.31,26458.0,0.0,0
2011-09-14,53.15,53.2,51.3,51.6,41.46,40264.0,0.0,0
2011-09-15,52.7,53.05,52.3,52.85,42.47,25913.0,0.0,0
2011-09-16,53.5,54.15,53.5,54.1,43.47,32417.0,0.0,0
2011-09-19,53.85,53.85,53.05,53.2,42.75,17194.0,0.0,0
2011-09-20,53.35,53.7,52.5,53.4,42.91,18324.0,0.0,0
2011-09-21,53.4,53.95,53.0,53.6,43.07,9706.0,0.0,0
2011-09-22,52.6,52.6,51.85,52.1,41.87,29864.0,0.0,0
2011-09-23,50.5,50.85,49.93,50.35,40.46,63857.0,0.0,0
2011-09-26,50.25,50.3,49.3,49.32,39.63,41894.0,0.0,0
2011-09-27,50.5,51.15,50.5,51.1,41.06,29748.0,0.0,0
2011-09-28,51.2,51.3,50.9,51.15,41.1,18576.0,0.0,0
2011-09-29,50.65,51.75,50.6,51.6,41.46,14042.0,0.0,0
2011-09-30,51.45,51.9,51.25,51.65,41.5,11737.0,0.0,0
2011-10-03,50.75,51.0,50.15,50.3,40.42,26685.0,0.0,0
2011-10-04,49.9,50.75,49.5,50.75,40.78,19399.0,0.0,0
2011-10-05,50.9,50.95,50.2,50.25,40.38,13657.0,0.0,0
2011-10-06,51.15,51.55,51.0,51.25,41.18,20965.0,0.0,0
2011-10-07,51.8,52.15,51.5,51.55,41.42,18294.0,0.0,0
2011-10-11,52.75,53.0,52.7,53.0,42.59,24500.0,0.0,0
2011-10-12,52.85,53.1,52.5,52.85,42.47,10317.0,0.0,0
2011-10-13,53.2,53.2,52.65,52.8,42.43,12002.0,0.0,0
2011-10-14,52.6,52.9,52.45,52.45,42.15,9806.0,0.0,0
2011-10-17,53.1,53.45,52.8,53.1,42.67,12148.0,0.0,0
2011-10-18,52.5,52.7,52.2,52.55,42.23,18672.0,0.0,0
2011-10-19,52.6,52.75,52.3,52.35,42.07,12284.0,0.0,0
2011-10-20,52.55,52.65,51.75,51.75,41.58,19120.0,0.0,0
2011-10-21,51.8,51.95,51.55,51.95,41.74,16975.0,0.0,0
2011-10-24,52.45,53.6,52.45,53.6,43.07,24485.0,0.0,0
2011-10-25,53.65,53.7,53.45,53.6,43.07,23472.0,0.0,0
2011-10-26,51.6,52.15,51.3,52.15,41.91,23788.0,0.0,0
2011-10-27,52.15,52.3,51.75,52.25,41.99,23196.0,0.0,0
2011-10-28,53.4,53.45,52.35,52.4,42.11,36334.0,0.0,0
2011-10-31,52.8,52.95,52.1,52.2,41.95,16851.0,0.0,0
2011-11-01,52.2,52.85,51.85,52.55,42.23,10900.0,0.0,0
2011-11-02,51.6,52.5,51.45,52.4,42.11,23399.0,0.0,0
2011-11-03,52.0,52.0,51.45,51.45,41.34,29311.0,0.0,0
2011-11-04,52.2,52.6,52.1,52.3,42.03,19693.0,0.0,0
2011-11-07,52.3,52.55,52.15,52.4,42.11,5836.0,0.0,0
2011-11-08,52.4,52.85,52.15,52.15,41.91,13091.0,0.0,0
2011-11-09,52.5,52.6,52.1,52.2,41.95,9908.0,0.0,0
2011-11-10,51.25,51.25,50.2,50.55,40.62,59615.0,0.0,0
2011-11-11,50.65,51.05,50.5,50.9,40.9,15820.0,0.0,0
2011-11-14,51.75,52.25,51.75,52.15,41.91,22833.0,0.0,0
2011-11-15,52.05,52.1,51.75,51.85,41.66,6766.0,0.0,0
2011-11-16,52.15,52.3,51.1,51.2,41.14,17998.0,0.0,0
2011-11-17,50.9,51.35,50.5,51.35,41.26,16426.0,0.0,0
2011-11-18,50.7,50.8,50.25,50.3,40.42,39809.0,0.0,0
2011-11-21,49.9,49.9,49.12,49.23,39.56,46335.0,0.0,0
2011-11-22,49.23,49.47,48.83,49.02,39.39,37087.0,0.0,0
2011-11-23,48.8,48.86,47.7,47.85,38.45,55687.0,0.0,0
2011-11-24,47.8,48.03,47.28,47.86,38.46,38557.0,0.0,0
2011-11-25,48.24,48.46,47.05,47.44,38.12,31659.0,0.0,0
2011-11-28,48.08,48.3,47.85,48.29,38.8,17081.0,0.0,0
2011-11-29,48.75,48.75,48.2,48.72,39.15,13469.0,0.0,0
2011-11-30,48.5,48.53,47.75,48.08,38.63,13446.0,0.0,0
2011-12-01,49.6,50.6,49.6,50.3,40.42,49918.0,0.0,0
2011-12-02,50.1,50.25,49.6,49.82,40.03,10966.0,0.0,0
2011-12-05,49.82,49.82,49.2,49.66,39.9,9390.0,0.0,0
2011-12-06,49.5,49.5,48.67,48.69,39.13,14612.0,0.0,0
2011-12-07,49.0,49.33,49.0,49.2,39.53,14997.0,0.0,0
2011-12-08,49.01,49.01,48.4,48.86,39.26,14734.0,0.0,0
2011-12-09,48.0,48.63,48.0,48.24,38.76,18092.0,0.0,0
2011-12-12,48.94,49.09,48.63,48.8,39.21,12144.0,0.0,0
2011-12-13,48.37,48.78,48.17,48.55,39.01,9870.0,0.0,0
2011-12-14,48.54,48.6,48.17,48.59,39.04,5870.0,0.0,0
2011-12-15,48.01,48.01,47.5,47.5,38.17,21801.0,0.0,0
2011-12-16,47.65,47.81,47.45,47.7,38.33,15112.0,0.0,0
2011-12-19,47.4,47.4,46.61,46.74,37.56,25713.0,0.0,0
2011-12-20,47.05,47.27,46.91,47.0,37.77,7898.0,0.0,0
2011-12-21,48.55,49.3,48.55,49.28,39.6,31847.0,0.0,0
2011-12-22,49.27,49.32,48.99,49.16,39.5,17201.0,0.0,0
2011-12-23,49.89,50.25,49.79,50.0,40.18,28380.0,0.0,0
2011-12-26,50.0,50.05,49.8,49.95,40.14,11418.0,0.0,0
2011-12-27,49.85,50.0,49.62,49.85,40.06,15588.0,0.0,0
2011-12-28,49.75,49.87,49.52,49.57,39.83,13425.0,0.0,0
2011-12-29,49.5,49.72,49.22,49.61,39.86,13612.0,0.0,0
2011-12-30,50.0,50.15,49.59,49.81,40.03,19549.0,0.0,0
2012-01-02,49.45,49.6,48.94,49.06,39.42,11331613.0,0.0,0
2012-01-03,49.5,49.95,49.4,49.7,39.94,19461977.0,0.0,0
2012-01-04,49.9,50.15,49.78,50.0,40.18,23080541.0,0.0,0
2012-01-05,50.1,50.15,49.91,50.15,40.3,21097923.0,0.0,0
2012-01-06,50.1,50.25,49.85,50.0,40.18,28343880.0,0.0,0
2012-01-09,49.9,49.95,49.63,49.81,40.03,14067965.0,0.0,0
2012-01-10,50.2,50.7,50.2,50.7,40.74,29305530.0,0.0,0
2012-01-11,50.7,50.8,50.6,50.65,40.7,13541792.0,0.0,0
2012-01-12,50.7,50.85,50.5,50.75,40.78,18821732.0,0.0,0
2012-01-13,51.15,51.25,50.75,50.85,40.86,39263092.0,0.0,0
2012-01-16,51.05,51.1,49.75,50.05,40.22,28879651.0,0.0,0
2012-01-17,50.35,50.6,50.1,50.55,40.62,15752.0,0.0,0
2012-01-18,50.55,50.75,50.3,50.4,40.5,12458.0,0.0,0
2012-01-30,51.4,52.3,51.4,51.8,41.62,34168.0,0.0,0
2012-01-31,52.0,52.4,51.75,51.95,41.74,20563.0,0.0,0
2012-02-01,52.2,52.5,52.0,52.3,42.03,24052.0,0.0,0
2012-02-02,52.7,52.95,52.5,52.9,42.51,20343.0,0.0,0
2012-02-03,52.95,53.05,52.75,53.05,42.63,35646.0,0.0,0
2012-02-06,53.5,53.5,53.15,53.2,42.75,18139.0,0.0,0
2012-02-07,53.3,53.6,53.05,53.3,42.83,19800.0,0.0,0
2012-02-08,53.5,54.45,53.5,54.45,43.75,38882.0,0.0,0
2012-02-09,54.05,54.4,53.9,54.4,43.71,36059.0,0.0,0
2012-02-10,54.25,54.55,53.95,53.95,43.35,28567.0,0.0,0
2012-02-13,54.0,54.35,53.75,54.2,43.55,26848.0,0.0,0
2012-02-14,54.05,54.25,53.6,54.0,43.39,23386.0,0.0,0
2012-02-15,54.3,55.0,54.2,54.9,44.12,41530.0,0.0,0
2012-02-16,54.65,54.85,54.2,54.25,43.59,22817.0,0.0,0
2012-02-17,54.8,55.2,54.35,54.75,43.99,35406.0,0.0,0
2012-02-20,54.8,55.05,54.5,54.7,43.95,31783.0,0.0,0
2012-02-21,54.5,54.75,54.0,54.5,43.79,15207.0,0.0,0
2012-02-22,54.3,55.1,54.2,54.85,44.08,17110.0,0.0,0
2012-02-23,54.55,54.75,54.4,54.6,43.87,7416.0,0.0,0
2012-02-24,54.6,54.85,54.25,54.75,43.99,9112.0,0.0,0
2012-02-29,55.25,56.0,55.25,56.0,45.0,27029.0,0.0,0
2012-03-01,55.95,56.2,55.85,55.9,44.92,20057.0,0.0,0
2012-03-02,56.0,56.1,55.55,55.6,44.68,9062.0,0.0,0
2012-03-05,55.3,55.35,54.8,54.85,44.08,17858.0,0.0,0
2012-03-06,54.9,55.05,54.1,54.6,43.87,16173.0,0.0,0
2012-03-07,54.0,54.5,54.0,54.4,43.71,9378.0,0.0,0
2012-03-08,54.4,54.9,54.15,54.7,43.95,15202.0,0.0,0
2012-03-09,54.7,55.05,54.45,54.95,44.16,12903.0,0.0,0
2012-03-12,55.0,55.0,54.35,54.35,43.67,8240.0,0.0,0
2012-03-13,54.6,55.3,54.6,55.1,44.28,18480.0,0.0,0
2012-03-14,56.05,56.2,55.75,55.9,44.92,23945.0,0.0,0
2012-03-15,55.75,55.9,55.5,55.65,44.72,7310.0,0.0,0
2012-03-16,55.5,55.7,55.4,55.4,44.52,8464.0,0.0,0
2012-03-19,55.45,55.65,54.8,55.25,44.4,13373.0,0.0,0
2012-03-20,55.35,55.35,54.7,54.85,44.08,6595.0,0.0,0
2012-03-21,54.85,55.2,54.8,54.85,44.08,5796.0,0.0,0
2012-03-22,54.95,55.75,54.95,55.6,44.68,12626.0,0.0,0
2012-03-23,55.45,55.6,55.3,55.45,44.56,5413.0,0.0,0
2012-03-26,55.0,55.25,54.45,54.55,43.83,9142.0,0.0,0
2012-03-27,54.8,55.25,54.75,55.25,44.4,10088.0,0.0,0
2012-03-28,55.45,55.85,55.2,55.45,44.56,12003.0,0.0,0
